team,pts
Liverpool F.C.,67
Arsenal F.C.,65
Manchester City F.C.,64
Aston Villa F.C.,59
Tottenham Hotspur F.C.,56
Manchester United F.C.,48
West Ham United F.C.,44
Newcastle United F.C.,43
Brighton & Hove Albion,42
Wolverhampton Wanderers F.C.,41
Chelsea F.C.,40
Fulham F.C.,39
AFC Bournemouth,38
Crystal Palace,30
Brentford F.C.,27
Everton F.C.,25
Nottingham Forest F.C.,22
Luton Town F.C.,22
Burnley F.C.,18
Sheffield United F.C.,15
